reg,pv,X_pu_per_kvar
reg1,pv011,-2.1323134369310992e-10
reg2,pv011,-2.1323134369310992e-10
reg3,pv011,-2.1323134369310992e-10
reg1,pv012,-2.1323134369310992e-10
reg2,pv012,-2.1323134369310992e-10
reg3,pv012,-2.1323134369310992e-10
reg1,pv013,-2.1323134369310992e-10
reg2,pv013,-2.1323134369310992e-10
reg3,pv013,-2.1323134369310992e-10
reg1,pv014,-2.1323134369310992e-10
reg2,pv014,-2.1323134369310992e-10
reg3,pv014,-2.1323134369310992e-10
reg1,pv021,-2.1323134369310992e-10
reg2,pv021,-2.1323134369310992e-10
reg3,pv021,-2.1323134369310992e-10
reg1,pv022,-2.1323134369310992e-10
reg2,pv022,-2.1323134369310992e-10
reg3,pv022,-2.1323134369310992e-10
reg1,pv023,-2.1323134369310992e-10
reg2,pv023,-2.1323134369310992e-10
reg3,pv023,-2.1323134369310992e-10
reg1,pv024,-2.1323134369310992e-10
reg2,pv024,-2.1323134369310992e-10
reg3,pv024,-2.1323134369310992e-10
reg1,pv031,-2.1323134369310992e-10
reg2,pv031,-2.1323134369310992e-10
reg3,pv031,-2.1323134369310992e-10
reg1,pv032,-2.1323134369310992e-10
reg2,pv032,-2.1323134369310992e-10
reg3,pv032,-2.1323134369310992e-10
reg1,pv033,-2.1323134369310992e-10
reg2,pv033,-2.1323134369310992e-10
reg3,pv033,-2.1323134369310992e-10
reg1,pv034,-2.1323134369310992e-10
reg2,pv034,-2.1323134369310992e-10
reg3,pv034,-2.1323134369310992e-10
reg1,pv041,-2.1323134369310992e-10
reg2,pv041,-2.1323134369310992e-10
reg3,pv041,-2.1323134369310992e-10
reg1,pv042,-2.1323134369310992e-10
reg2,pv042,-2.1323134369310992e-10
reg3,pv042,-2.1323134369310992e-10
reg1,pv043,-2.1323134369310992e-10
reg2,pv043,-2.1323134369310992e-10
reg3,pv043,-2.1323134369310992e-10
reg1,pv044,-2.1323134369310992e-10
reg2,pv044,-2.1323134369310992e-10
reg3,pv044,-2.1323134369310992e-10
reg1,pv051,-2.1323134369310992e-10
reg2,pv051,-2.1323134369310992e-10
reg3,pv051,-2.1323134369310992e-10
reg1,pv052,-2.1323134369310992e-10
reg2,pv052,-2.1323134369310992e-10
reg3,pv052,-2.1323134369310992e-10
reg1,pv053,-2.1323134369310992e-10
reg2,pv053,-2.1323134369310992e-10
reg3,pv053,-2.1323134369310992e-10
reg1,pv054,-2.1323134369310992e-10
reg2,pv054,-2.1323134369310992e-10
reg3,pv054,-2.1323134369310992e-10
reg1,pv061,-2.1323134369310992e-10
reg2,pv061,-2.1323134369310992e-10
reg3,pv061,-2.1323134369310992e-10
reg1,pv062,-2.1323134369310992e-10
reg2,pv062,-2.1323134369310992e-10
reg3,pv062,-2.1323134369310992e-10
reg1,pv063,-2.1323134369310992e-10
reg2,pv063,-2.1323134369310992e-10
reg3,pv063,-2.1323134369310992e-10
reg1,pv064,-2.1323134369310992e-10
reg2,pv064,-2.1323134369310992e-10
reg3,pv064,-2.1323134369310992e-10
reg1,pv071,-2.1323134369310992e-10
reg2,pv071,-2.1323134369310992e-10
reg3,pv071,-2.1323134369310992e-10
reg1,pv072,-2.1323134369310992e-10
reg2,pv072,-2.1323134369310992e-10
reg3,pv072,-2.1323134369310992e-10
reg1,pv073,-2.1323134369310992e-10
reg2,pv073,-2.1323134369310992e-10
reg3,pv073,-2.1323134369310992e-10
reg1,pv074,-2.1323134369310992e-10
reg2,pv074,-2.1323134369310992e-10
reg3,pv074,-2.1323134369310992e-10
reg1,pv081,-2.1323134369310992e-10
reg2,pv081,-2.1323134369310992e-10
reg3,pv081,-2.1323134369310992e-10
reg1,pv082,-2.1323134369310992e-10
reg2,pv082,-2.1323134369310992e-10
reg3,pv082,-2.1323134369310992e-10
reg1,pv083,-2.1323134369310992e-10
reg2,pv083,-2.1323134369310992e-10
reg3,pv083,-2.1323134369310992e-10
reg1,pv084,-2.1323134369310992e-10
reg2,pv084,-2.1323134369310992e-10
reg3,pv084,-2.1323134369310992e-10
reg1,pv091,-2.1323134369310992e-10
reg2,pv091,-2.1323134369310992e-10
reg3,pv091,-2.1323134369310992e-10
reg1,pv092,-2.1323134369310992e-10
reg2,pv092,-2.1323134369310992e-10
reg3,pv092,-2.1323134369310992e-10
reg1,pv093,-2.1323134369310992e-10
reg2,pv093,-2.1323134369310992e-10
reg3,pv093,-2.1323134369310992e-10
reg1,pv094,-2.1323134369310992e-10
reg2,pv094,-2.1323134369310992e-10
reg3,pv094,-2.1323134369310992e-10
reg1,pv101,-2.1323134369310992e-10
reg2,pv101,-2.1323134369310992e-10
reg3,pv101,-2.1323134369310992e-10
reg1,pv102,-2.1323134369310992e-10
reg2,pv102,-2.1323134369310992e-10
reg3,pv102,-2.1323134369310992e-10
reg1,pv103,-2.1323134369310992e-10
reg2,pv103,-2.1323134369310992e-10
reg3,pv103,-2.1323134369310992e-10
reg1,pv104,-2.1323134369310992e-10
reg2,pv104,-2.1323134369310992e-10
reg3,pv104,-2.1323134369310992e-10
reg1,pv111,-2.1323134369310992e-10
reg2,pv111,-2.1323134369310992e-10
reg3,pv111,-2.1323134369310992e-10
reg1,pv112,-2.1323134369310992e-10
reg2,pv112,-2.1323134369310992e-10
reg3,pv112,-2.1323134369310992e-10
reg1,pv113,-2.1323134369310992e-10
reg2,pv113,-2.1323134369310992e-10
reg3,pv113,-2.1323134369310992e-10
reg1,pv114,-2.1323134369310992e-10
reg2,pv114,-2.1323134369310992e-10
reg3,pv114,-2.1323134369310992e-10
